,ENTERTAINMENTRATING,FOODRATING,GROUNDSERVICERATING,SEATCOMFORTRATING,SERVICERATING,VALUERATING,WIFIRATING
0,0,4,4,4,5,3,0
1,0,1,1,2,2,2,0
2,0,1,1,2,1,2,0
3,0,1,1,1,3,1,0
4,0,0,5,4,4,4,0
5,0,0,5,4,5,4,0
6,0,0,3,4,2,3,0
7,0,0,1,1,1,1,0
8,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1
10,0,1,1,1,1,1,0
11,1,1,1,1,1,1,1
12,1,1,1,1,2,1,1
13,0,3,5,4,4,5,0
14,1,0,1,2,1,1,1
15,0,1,4,4,1,1,0
16,0,0,3,3,3,2,0
17,0,2,2,1,2,1,0
18,0,0,1,3,3,1,0
19,0,5,5,5,5,5,0
20,1,1,1,2,1,1,1
21,0,1,1,2,4,3,0
22,0,3,5,5,5,3,0
23,0,0,1,3,3,1,0
24,0,1,1,3,4,2,1
25,4,4,5,5,5,4,0
26,5,4,5,5,5,4,5
27,0,0,5,5,5,4,0
28,0,3,3,4,4,4,0
29,3,1,4,3,5,1,3
30,1,2,3,1,1,1,0
31,2,1,2,3,1,2,0
32,0,0,4,2,2,4,0
33,4,3,3,2,4,4,4
34,0,0,1,4,5,3,0
35,0,5,5,5,5,5,0
36,0,3,5,4,4,4,0
37,0,0,5,5,5,5,0
38,2,2,4,3,2,3,0
39,1,1,3,2,3,1,0
40,0,0,3,3,3,2,0
41,0,1,5,5,1,5,0
42,4,5,5,5,5,5,0
43,0,0,3,4,3,3,0
44,0,0,5,4,5,2,0
45,0,0,5,5,5,4,0
46,1,3,1,1,1,1,1
47,0,1,1,2,1,1,0
48,0,3,3,3,3,3,0
49,1,1,1,1,1,1,1
50,0,0,1,0,0,1,0
51,1,1,1,1,1,1,1
52,0,2,1,3,3,1,0
53,0,4,4,5,5,1,0
54,0,4,4,4,4,4,0
55,1,1,1,1,1,1,0
56,0,0,1,2,4,2,0
57,1,1,1,1,1,1,1
58,0,1,1,1,1,1,0
59,0,0,1,1,1,1,0
60,2,4,3,3,5,1,0
61,0,2,1,1,3,1,0
62,0,5,1,4,4,3,0
63,0,5,3,4,5,5,0
64,0,0,1,1,1,1,0
65,0,0,1,1,1,1,0
66,0,0,1,0,0,1,0
67,3,3,1,1,2,1,0
68,0,0,5,4,2,5,0
69,0,0,0,0,0,1,0
