,ENTERTAINMENTRATING,FOODRATING,GROUNDSERVICERATING,OVERALLSCORE,SEATCOMFORTRATING,SERVICERATING,PURPOSE,VALUERATING,WIFIRATING,LONGDISTANCE,YEAR,AIRLINE
0,0.0,2.0,2.0,3.67,2.67,2.67,1.0,2.33,0.0,0.0,2019.0,AB Aviation
1,3.34,3.86,4.26,8.14,4.01,4.5,0.89,4.21,1.17,0.85,2017.69,ANA All Nippon Airways
2,0.59,1.35,1.59,2.29,1.82,1.65,0.76,1.35,0.24,0.35,2020.0,ASKY Airlines
3,0.0,1.5,1.5,1.5,1.0,1.5,0.5,2.0,0.0,0.0,2016.5,ATA Airlines
4,0.82,1.46,3.05,4.77,3.13,3.1,0.74,2.62,0.49,0.38,2016.85,Adria Airways
5,1.03,3.24,3.42,6.65,3.43,3.93,0.81,3.5,0.42,0.37,2018.21,Aegean Airlines
6,1.44,1.86,2.5,4.22,2.6,2.85,0.84,2.61,0.72,0.53,2018.43,Aer Lingus
7,0.0,0.0,4.33,8.67,4.0,3.67,1.0,3.67,0.0,0.0,2018.33,Aero VIP
8,0.0,1.0,1.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,2023.0,AeroItalia
9,2.04,2.81,2.68,5.34,3.0,3.23,0.8,3.22,0.58,0.61,2017.64,Aeroflot Russian Airlines
10,1.16,1.87,2.28,3.97,2.37,2.59,0.81,2.4,0.47,0.53,2018.01,Aerolineas Argentinas
11,0.33,2.11,1.89,2.56,2.22,2.11,0.89,1.56,0.33,0.33,2017.11,Aeromar
12,1.66,1.84,2.01,3.37,2.27,2.39,0.84,2.2,0.58,0.68,2018.17,Aeromexico
13,0.44,2.11,1.44,2.67,2.0,2.78,0.67,1.78,0.11,0.33,2019.67,Africa World Airlines
14,0.38,0.38,1.62,2.0,1.62,1.38,0.88,1.5,0.0,0.12,2018.0,Aigle Azur
15,0.73,2.8,2.13,4.13,2.53,2.8,0.73,2.53,0.4,0.33,2017.47,Air Algerie
16,0.33,0.33,2.33,4.0,2.33,2.33,1.0,2.33,0.33,0.33,2020.0,Air Antilles
17,0.57,0.98,1.46,2.3,1.82,1.81,0.88,1.78,0.52,0.38,2019.47,Air Arabia
18,2.93,3.68,3.62,7.42,3.85,4.1,0.58,3.66,0.76,0.76,2017.81,Air Astana
19,1.71,2.24,2.41,4.06,2.59,2.82,0.88,2.24,0.65,0.65,2018.06,Air Austral
20,1.58,2.13,2.51,4.45,2.64,3.03,0.72,2.76,0.57,0.54,2016.17,Air Berlin
21,0.5,3.25,1.75,3.25,3.5,3.25,0.5,2.25,0.25,0.25,2018.5,Air Botswana
22,0.0,3.5,2.5,5.5,3.5,4.0,1.0,3.5,0.0,0.0,2018.5,Air Burkina
23,0.22,1.33,3.78,7.56,3.67,3.89,1.0,4.11,0.56,0.11,2017.33,Air Busan
24,0.55,2.0,2.18,3.73,2.27,2.55,0.91,2.64,0.27,0.36,2019.73,Air Cairo
25,2.01,1.8,2.14,3.44,2.37,2.56,0.83,2.15,0.65,0.71,2019.0,Air Canada
26,1.42,1.86,2.61,3.67,2.04,2.8,0.94,2.2,1.06,0.73,2017.09,Air Canada rouge
27,1.21,1.79,1.5,2.86,1.64,1.79,0.93,1.79,0.14,0.57,2018.07,Air Caraibes
28,1.74,2.08,2.14,3.75,2.47,2.53,0.85,2.69,0.28,0.85,2017.12,Air China
29,0.14,2.0,3.29,6.14,2.86,3.43,0.86,3.43,0.14,0.14,2018.0,Air Corsica
30,0.0,3.0,4.0,8.0,5.0,4.0,1.0,5.0,0.0,0.0,2015.0,Air Costa
31,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,2021.0,Air Cote d'Ivoire
32,1.5,1.0,4.0,6.5,4.0,4.0,1.0,3.0,0.0,0.5,2021.0,Air Djibouti
33,1.08,2.53,2.92,5.69,3.06,3.47,0.69,2.94,0.92,0.36,2019.14,Air Dolomiti
34,1.26,1.41,1.93,3.08,2.09,2.2,0.86,2.07,0.51,0.63,2018.32,Air Europa
35,2.16,2.74,2.78,5.09,2.88,3.26,0.8,2.86,0.67,0.67,2018.21,Air France
36,1.5,2.0,1.5,2.75,1.62,2.12,1.0,1.5,0.25,0.75,2018.75,Air Greenland
37,0.0,2.5,4.5,10.0,5.0,5.0,1.0,4.5,0.0,0.0,2018.0,Air Iceland Connect
38,1.3,2.24,2.39,3.74,2.51,2.55,0.86,2.44,0.45,0.67,2019.12,Air India
